date,DV_pressure,cumulative_mean,cumulative_std_dev,ucl_1,lcl_1,ucl_2,lcl_2,ucl_3,lcl_3
2020-02-01,-0.019065789473683925,-0.019065789473683925,,,,,,,
2020-02-02,-0.01771838998719915,-0.018392089730441537,0.0009527553138606564,-0.01743933441658088,-0.019344845044302193,-0.016486579102720226,-0.02029760035816285,-0.015533823788859568,-0.021250355672023505
2020-02-03,-0.01789926571821884,-0.018227815059700638,0.0007313206180506274,-0.01749649444165001,-0.018959135677751267,-0.016765173823599384,-0.019690456295801892,-0.016033853205548756,-0.02042177691385252
2020-02-04,-0.018612596076631252,-0.01832401031393329,0.00062734945498622,-0.01769666085894707,-0.018951359768919512,-0.01706931140396085,-0.01957870922390573,-0.01644196194897463,-0.020206058678891952
2020-02-05,-0.017025682398816442,-0.01806434473090992,0.0007951770740143126,-0.017269167656895606,-0.018859521804924232,-0.016473990582881293,-0.019654698878938545,-0.015678813508866983,-0.020449875952952855
2020-02-06,-0.013983802389146864,-0.01738425434061608,0.0018113483643547314,-0.015572905976261348,-0.01919560270497081,-0.013761557611906616,-0.02100695106932554,-0.011950209247551885,-0.022818299433680272
2020-02-07,-0.011924844015881364,-0.016604338579939693,0.002644245179719309,-0.013960093400220384,-0.019248583759659002,-0.011315848220501076,-0.02189282893937831,-0.008671603040781767,-0.02453707411909762
2020-02-08,-0.013595810795257677,-0.01622827260685444,0.0026691900838246795,-0.01355908252302976,-0.01889746269067912,-0.01088989243920508,-0.0215666527745038,-0.008220702355380402,-0.024235842858328478
2020-02-09,-0.01167083390575547,-0.015721890528954553,0.002922637339801733,-0.01279925318915282,-0.018644527868756287,-0.009876615849351088,-0.021567165208558017,-0.006953978509549354,-0.02448980254835975
2020-02-10,-0.016147295125870053,-0.015764430988646102,0.002758770747271246,-0.013005660241374856,-0.018523201735917347,-0.01024688949410361,-0.021281972483188593,-0.0074881187468323635,-0.024040743230459842
2020-02-11,-0.01828421477593816,-0.01599350224203629,0.0027252420925170774,-0.013268260149519213,-0.018718744334553367,-0.010543018057002135,-0.021443986427070447,-0.007817775964485057,-0.024169228519587523
2020-02-12,-0.01383217734258052,-0.01581339183374831,0.002672273339979075,-0.013141118493769234,-0.018485665173727385,-0.010468845153790159,-0.02115793851370646,-0.007796571813811085,-0.023830211853685536
2020-02-13,-0.012045164718383718,-0.015523528209489493,0.0027637347385900232,-0.01275979347089947,-0.018287262948079516,-0.009996058732309448,-0.02105099768666954,-0.007232323993719423,-0.023814732425259562
2020-02-14,-0.013924697057125788,-0.015409325984320658,0.0026894727456106254,-0.012719853238710032,-0.01809879872993128,-0.010030380493099407,-0.02078827147554191,-0.007340907747488782,-0.023477744221152536
2020-02-15,-0.014902707664065883,-0.015375551429637008,0.002594939839052525,-0.012780611590584483,-0.017970491268689534,-0.010185671751531959,-0.020565431107742057,-0.007590731912479432,-0.023160370946794583
2020-02-16,-0.014846030289122675,-0.01534245635835486,0.002510442814253933,-0.012832013544100927,-0.017852899172608794,-0.010321570729846994,-0.020363341986862727,-0.0078111279155930625,-0.02287378480111666
2020-02-17,-0.016145172656799798,-0.015389674964145741,0.0024385100108201196,-0.012951164953325621,-0.017828184974965862,-0.010512654942505502,-0.020266694985785982,-0.008074144931685383,-0.0227052049966061
2020-02-18,-0.015308857273978214,-0.015385185092469765,0.0023657788893239546,-0.01301940620314581,-0.01775096398179372,-0.010653627313821856,-0.020116742871117674,-0.008287848424497903,-0.022482521760441628
2020-02-19,-0.015898131487888583,-0.015412182271176019,0.002302133451375706,-0.013110048819800314,-0.017714315722551725,-0.010807915368424608,-0.02001644917392743,-0.0085057819170489,-0.02231858262530314
2020-02-20,-0.015501476170391536,-0.015416646966136796,0.002240821118690172,-0.013175825847446625,-0.017657468084826967,-0.010935004728756453,-0.01989828920351714,-0.00869418361006628,-0.022139110322207313
2020-02-21,-0.016345571363009695,-0.01546088146122598,0.0021934689018404565,-0.013267412559385523,-0.017654350363066437,-0.011073943657545066,-0.019847819264906894,-0.008880474755704611,-0.02204128816674735
2020-02-22,-0.017221890775584385,-0.015540927339151363,0.002173282668874964,-0.013367644670276398,-0.017714210008026327,-0.011194362001401434,-0.01988749267690129,-0.009021079332526471,-0.022060775345776253
2020-02-23,-0.015259957776213246,-0.015528711271197532,0.0021241235656522376,-0.013404587705545295,-0.01765283483684977,-0.011280464139893056,-0.019776958402502008,-0.009156340574240819,-0.021901081968154247
2020-02-24,-0.012676056338027607,-0.015409850648982119,0.0021574984721130985,-0.013252352176869021,-0.017567349121095217,-0.011094853704755922,-0.019724847593208316,-0.008937355232642823,-0.021882346065321415
2020-02-25,-0.0186828820559882,-0.015540771905262363,0.0022111895113501355,-0.013329582393912229,-0.017751961416612498,-0.011118392882562092,-0.019963150927962636,-0.008907203371211956,-0.02217434043931277
2020-02-26,-0.01407813362782905,-0.015484516586899541,0.0021854212122259897,-0.013299095374673551,-0.01766993779912553,-0.011113674162447563,-0.01985535901135152,-0.008928252950221573,-0.02204078022357751
2020-02-27,-0.014666587901700454,-0.01545422293189217,0.0021487552403466263,-0.013305467691545543,-0.017602978172238794,-0.011156712451198918,-0.01975173341258542,-0.009007957210852291,-0.021900488652932048
2020-02-28,-0.017475801816300242,-0.015526422177763885,0.0021429185780733754,-0.01338350359969051,-0.01766934075583726,-0.011240585021617134,-0.019812259333910634,-0.009097666443543758,-0.021955177911984012
2020-03-01,-0.018020377254577915,-0.015612420628688508,0.002154663020742035,-0.013457757607946472,-0.017767083649430544,-0.011303094587204437,-0.019921746670172578,-0.009148431566462403,-0.022076409690914612
2020-03-02,-0.014300660501981335,-0.015568695291131602,0.002130690304187291,-0.013438004986944311,-0.017699385595318893,-0.01130731468275702,-0.019830075899506184,-0.009176624378569729,-0.021960766203693475
2020-03-03,-0.0168885824600111,-0.015611272296579328,0.0021082480822851245,-0.013503024214294203,-0.017719520378864453,-0.01139477613200908,-0.019827768461149576,-0.009286528049723955,-0.021936016543434703
2020-03-04,-0.015093216428241648,-0.015595083050693775,0.002075986312362821,-0.013519096738330953,-0.017671069363056596,-0.011443110425968132,-0.019747055675419418,-0.009367124113605312,-0.02182304198778224
2020-03-05,-0.004148429409734104,-0.015248214758543483,0.0028540360271654716,-0.01239417873137801,-0.018102250785708953,-0.00954014270421254,-0.020956286812874425,-0.006686106677047068,-0.023810322840039897
2020-03-06,0.024729654624851244,-0.014072395070796578,0.007409821424994341,-0.006662573645802237,-0.02148221649579092,0.0007472477791921044,-0.028892037920785263,0.008157069204186445,-0.036301859345779605
2020-03-07,-0.016587578047979192,-0.014144257441573225,0.007312409608404828,-0.0068318478331683965,-0.02145666704997805,0.0004805617752364315,-0.02876907665838288,0.007792971383641259,-0.036081486266787706
2020-03-08,-0.017476594768242402,-0.014236822367314035,0.007228557216363895,-0.00700826515095014,-0.02146537958367793,0.00022029206541375468,-0.028693936800041824,0.0074488492817776485,-0.035922494016405716
2020-03-09,0.007526526259664343,-0.013648623755774079,0.00797507149405986,-0.00567355226171422,-0.021623695249833937,0.0023015192323456394,-0.0295987667438938,0.010276590726405499,-0.037573838237953655
2020-03-10,-0.0038353145121343716,-0.013390378775678297,0.00802602246165422,-0.0053643563140240765,-0.021416401237332516,0.0026616661476301443,-0.02944242369898674,0.010687688609284363,-0.03746844616064096
2020-03-11,0.039007654037504856,-0.012046839472776164,0.011537793023873578,-0.0005090464489025861,-0.023584632496649743,0.011028746574970992,-0.03512242552052332,0.022566539598844575,-0.0466602185443969
2020-03-12,0.3631877590831505,-0.002665974508877998,0.060413015288424715,0.05774704077954672,-0.06307898979730271,0.11816005606797143,-0.12349200508572743,0.17857307135639613,-0.18390502037415216
2020-03-13,-0.01973356321839062,-0.0030822571603295254,0.05971259537916044,0.056630338218830914,-0.06279485253948996,0.11634293359799136,-0.1225074479186504,0.1760555289771518,-0.18222004329781086
2020-03-14,-0.017225751072961024,-0.00341900701539218,0.0590202605719353,0.05560125355654312,-0.062439267587327485,0.11462151412847843,-0.12145952815926278,0.17364177470041373,-0.1804797887311981
2020-03-15,-0.017132407901761935,-0.003737923315075198,0.058350892883760594,0.054612969568685395,-0.06208881619883579,0.112963862452446,-0.12043970908259638,0.17131475533620658,-0.17879060196635696
2020-03-16,-0.020926753393665266,-0.004128578544134063,0.05772659344181774,0.05359801489768368,-0.06185517198595181,0.11132460833950142,-0.11958176542776955,0.16905120178131916,-0.1773083588695873
2020-03-17,-0.019905508127703957,-0.004479176979324505,0.05711528264820836,0.052636105668883854,-0.06159445962753286,0.10975138831709222,-0.11870974227574121,0.16686667096530056,-0.17582502492394958
2020-03-18,-0.02050430193874013,-0.004827549261050932,0.05652650596508706,0.051698956704036125,-0.06135405522613799,0.10822546266912318,-0.11788056119122504,0.1647519686342102,-0.1744070671563121
2020-03-19,-0.018357589984350442,-0.005115422467929645,0.055943533549018626,0.05082811108108898,-0.061058956016948274,0.1067716446301076,-0.1170024895659669,0.16271517817912623,-0.17294602311498553
